id,gold_category,gold_known_class,gold_open_set,pred_category,pred_known_class,pred_open_set,result_type,confidence,category_correct,known_class_correct,open_set_correct,exact_correct,dataset,error_type,diagnosis,diagnosis_note,input_text,source_type,description_level,noise_level,input_file,has_parameter_text,medium_ship_parameters,carrier_scale_parameters,surface_combatant_shared,frigate_littoral_shared,amphibious_landing_shared,aviation_shared,weak_feature_count,negative_expression_count,gold_anchor_count,pred_anchor_count,negative_near_terms
known_arleigh_burke_002,驱逐舰,阿利·伯克级驱逐舰,False,两栖舰,,True,category_unknown,0.6326,False,False,False,False,origin_80,known_to_unknown_wrong_category_rejection,known_sample_anchor_too_weak_or_vlm_style,有少量锚点但整体偏弱描述/VLM描述，容易触发类别内未知。,这艘舰的主要特征是宙斯盾系统、舰艏主炮、前后垂发阵列和隐身化上层建筑。它没有全通飞行甲板、弹射器、拦阻索和坞舱，主要执行防空、反潜和对海作战任务。,standard_structure_description,detailed,low,sim_text_inputs_v2_80.jsonl,False,False,False,4,0,1,1,2,1,1,0,全通飞行甲板|飞行甲板
known_arleigh_burke_004,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,category_unknown,0.7246,True,False,False,False,origin_80,known_to_unknown_same_category_rejection,known_sample_missing_unique_anchor,真实已知类文本缺少独有强锚点，规则收紧时容易被拒识。；数据设计提示：已知样本缺少该舰级独有强锚点。,我看到一艘比较现代化的军舰，外形有点隐身，前面有炮，中间和后面好像有垂直发射装置。它不像两栖舰，没有尾门和坞舱，也不像航母，没有弹射器。,user_oral_description,medium,medium,sim_text_inputs_v2_80.jsonl,False,False,False,1,0,2,0,2,1,0,0,坞舱|弹射器
known_arleigh_burke_006,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,category_unknown,0.9043,True,False,False,False,origin_80,known_to_unknown_same_category_rejection,known_sample_missing_unique_anchor,真实已知类文本缺少独有强锚点，规则收紧时容易被拒识。；数据设计提示：已知样本缺少该舰级独有强锚点。,图像显示该舰具有隐身化封闭式上层建筑，舰艏处有主炮，舰尾存在直升机起降区域。未见坞舱、艉门或大型航空甲板，武器传感器特征较突出。,vlm_style_description,medium,low,sim_text_inputs_v2_80.jsonl,False,False,False,1,0,2,1,2,1,0,0,坞舱|艉门
known_arleigh_burke_008,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,category_unknown,0.8831,True,False,False,False,origin_80,known_to_unknown_same_category_rejection,known_sample_missing_unique_anchor,真实已知类文本缺少独有强锚点，规则收紧时容易被拒识。；数据设计提示：已知样本缺少该舰级独有强锚点。,只能看到船头有炮，上层建筑外形比较方正并有倾斜面，后部像是直升机甲板。垂发区域不太清楚，但整体不像航母或两栖登陆舰。,missing_noisy_description,coarse,medium,sim_text_inputs_v2_80.jsonl,False,False,False,1,1,1,1,2,0,0,0,
known_independence_003,护卫舰,独立级濒海战斗舰,False,护卫舰,,True,category_unknown,1.0,True,False,False,False,origin_80,known_to_unknown_same_category_rejection,rule_too_conservative_despite_anchors,文本已有已知类锚点，但规则仍拒识，可能需在该舰级恢复条件中补组合证据。,这艘船不是普通单体船，左右好像还有支撑结构，像三体船。驾驶室在比较前面，后面有一块停直升机的平台，船头有一门小炮，没有看到航母那种长长的飞行甲板。,user_oral_description,medium,medium,sim_text_inputs_v2_80.jsonl,False,False,False,0,1,0,2,0,2,2,0,
known_independence_008,护卫舰,独立级濒海战斗舰,False,护卫舰,,True,category_unknown,1.0,True,False,False,False,origin_80,known_to_unknown_same_category_rejection,known_sample_missing_unique_anchor,真实已知类文本缺少独有强锚点，规则收紧时容易被拒识。；数据设计提示：已知样本缺少该舰级独有强锚点。,只看得出这艘舰比较低矮，后面有直升机平台，船体好像比较宽，可能不是普通单体船。船头似乎有炮，其他装备看不清楚。,missing_noisy_description,coarse,medium,sim_text_inputs_v2_80.jsonl,False,False,False,0,0,0,1,1,1,0,0,
known_san_antonio_001,两栖舰,圣安东尼奥级两栖船坞运输舰,False,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.8589,True,False,True,False,origin_80,known_to_known_same_category_wrong_class,amphibious_landing_known_class_confusion,黄蜂/圣安东尼奥/惠德比岛边界混淆。,该舰为两栖船坞运输舰，采用大型单体船结构，前部为大型箱形隐身化上层建筑，舰尾设有直升机甲板和坞舱艉门，可搭载登陆艇、车辆和海军陆战队员。,standard_structure_description,detailed,low,sim_text_inputs_v2_80.jsonl,False,False,False,0,1,4,1,2,0,2,0,
unknown_destroyer_real_001,驱逐舰,,True,护卫舰,,True,category_unknown,0.7261,False,True,True,False,origin_80,unknown_to_unknown_wrong_category,surface_combatant_category_boundary,水面作战舰共享特征导致护卫舰/驱逐舰/巡洋舰边界混淆。,该舰为大型导弹驱逐舰，采用单体船结构，舰体尺寸和排水量明显大于普通护卫舰。舰上配备宙斯盾作战系统和相控阵雷达，舰艏装有一门127毫米级舰炮，前后甲板布置大量垂直发射单元，主要承担舰队区域防空和弹道导弹防御任务。舰尾设有直升机甲板，但没有机库。,standard_structure_description,detailed,low,sim_text_inputs_v2_80.jsonl,False,False,False,5,1,0,2,1,1,0,0,
unknown_destroyer_real_007,驱逐舰,,True,驱逐舰,阿利·伯克级驱逐舰,False,known_class,0.7892,True,False,False,False,origin_80,unknown_to_known_closed_set_leak,unknown_sample_contains_known_like_anchors,未知类文本含多个预测已知类锚点，数据近邻过强或金标边界需复查。；数据设计提示：未知样本含预测已知类强锚点，可能过像已知类。,该舰标准排水量约7250吨，满载排水量约9485吨，舰长约161米，舷宽约21米，吃水约6.2米，采用4台LM2500燃气轮机和双轴推进，最高航速约30节。舰上装有宙斯盾系统、AN/SPY-1D雷达、90具左右Mk 41垂直发射单元、127毫米舰炮和直升机平台。,parameter_text_description,detailed,low,sim_text_inputs_v2_80.jsonl,True,True,False,1,0,0,1,2,0,0,3,
unknown_destroyer_real_008,驱逐舰,,True,巡洋舰,,True,category_unknown,0.6768,False,True,True,False,origin_80,unknown_to_unknown_wrong_category,surface_combatant_category_boundary,水面作战舰共享特征导致护卫舰/驱逐舰/巡洋舰边界混淆。；数据设计提示：弱视觉描述较多，判别信息不足。,只能看出这艘舰比较大，前面有主炮，中部上层建筑很高，桅杆像格子结构，舰上似乎有很多导弹发射井。舰尾好像可以让直升机起降，但没有看清机库和具体雷达型号。,missing_noisy_description,coarse,medium,sim_text_inputs_v2_80.jsonl,False,False,False,2,0,0,2,3,1,0,0,
unknown_frigate_a_real_008,护卫舰,,True,巡洋舰,,True,category_unknown,0.7127,False,True,True,False,origin_80,unknown_to_unknown_wrong_category,weak_description_insufficient_for_category,文本只提供弱视觉特征，不足以稳定判定具体大类。,只能看出这是一艘中型军舰，舰尾有直升机库和起降甲板，船头有一门炮，中部有雷达和桅杆。甲板上似乎有一些导弹发射装置，但数量和型号看不清。,missing_noisy_description,coarse,medium,sim_text_inputs_v2_80.jsonl,False,False,False,1,0,0,2,2,0,0,0,
