"id","gold_category","gold_known_class","gold_open_set","pred_category","pred_known_class","pred_open_set","result_type","final_status","confidence","category_correct","known_class_correct","open_set_correct","exact_correct","category_result_label","category_result_conf","known_result_label","known_result_category","known_result_conf","open_set_is_unknown","open_set_reason","open_set_unknown_scope","top_candidate_label","top_candidate_category","top_candidate_conf","top_candidate_score","top_candidate_evidence_count","top_candidate_conflict_count","v49_1_promotion_applied","v49_1_promotion_reason","v49_1_safety_profile","v49_3_gate_applied","v49_3_gate_action","v49_3_gate_reason","v49_3_anchor_required","v49_3_anchor_passed","v49_3_anchor_reason","v49_3_anchor_groups","v49_7_category_gate","v49_10_guard","input_text","dataset"
"known_arleigh_burke_002","驱逐舰","阿利·伯克级驱逐舰","False","驱逐舰","","True","category_unknown","v49_16_surface_parameter_category_fix","0.78","True","False","False","False","驱逐舰","0.78","","","","True","v49.16：依据显式舰种词、长度/排水量/乘员/垂发数量等参数型证据，只修正水面作战舰大类，仍保持类别内未知。","驱逐舰类别内未知类","阿利·伯克级驱逐舰","驱逐舰","0.6326","17.5603","15","1","False","category_result_mismatch:两栖舰!=驱逐舰","","","","","","","","null","{""applied"": false, ""reason"": ""category_boundary_evidence_not_strong_enough"", ""current_category"": ""两栖舰"", ""top_category"": ""航空母舰"", ""second_category"": ""巡洋舰"", ""top_score"": 11.5, ""second_score"": 2.7, ""current_score"": -1.8, ""top_evidence_types"": [""combo_evidence"", ""negative_exclusion"", ""unique_anchor""], ""top_unique_count"": 2, ""top_shared_count"": 0, ""top_combo_count"": 1, ""top_negative_count"": 1, ""top_evidence"": [{""type"": ""unique_anchor"", ""cue"": ""弹射器"", ""score"": 5.0}, {""type"": ""unique_anchor"", ""cue"": ""拦阻索"", ""score"": 5.0}, {""type"": ""negative_exclusion"", ""cue"": ""无全通飞行甲板"", ""score"": -4.5}, {""type"": ""combo_evidence"", ""cue"": ""弹射器+拦阻索"", ""score"": 6.0}]}","{}","这艘舰的主要特征是宙斯盾系统、舰艏主炮、前后垂发阵列和隐身化上层建筑。它没有全通飞行甲板、弹射器、拦阻索和坞舱，主要执行防空、反潜和对海作战任务。","origin_80"
"known_arleigh_burke_004","驱逐舰","阿利·伯克级驱逐舰","False","驱逐舰","","True","category_unknown","v49_11_closed_set_guard","0.7246","True","False","False","False","驱逐舰","0.7246","","","","True","v49.11：v48 阿利·伯克补全只依赖共享区分特征，缺少舰级专属锚点。","驱逐舰类别内未知类","阿利·伯克级驱逐舰","驱逐舰","0.7246","14.4734","13","0","False","final_decision_already_known_class","","","","","","","","null","{""applied"": false, ""reason"": ""final_known_class_do_not_touch""}","{}","我看到一艘比较现代化的军舰，外形有点隐身，前面有炮，中间和后面好像有垂直发射装置。它不像两栖舰，没有尾门和坞舱，也不像航母，没有弹射器。","origin_80"
"known_arleigh_burke_006","驱逐舰","阿利·伯克级驱逐舰","False","驱逐舰","","True","category_unknown","v49_11_closed_set_guard","0.9043","True","False","False","False","驱逐舰","0.9043","","","","True","v49.11：v48 阿利·伯克补全只依赖共享区分特征，缺少舰级专属锚点。","驱逐舰类别内未知类","阿利·伯克级驱逐舰","驱逐舰","0.9043","18.8949","18","0","False","final_decision_already_known_class","","","","","","","","null","{""applied"": false, ""reason"": ""final_known_class_do_not_touch""}","{}","图像显示该舰具有隐身化封闭式上层建筑，舰艏处有主炮，舰尾存在直升机起降区域。未见坞舱、艉门或大型航空甲板，武器传感器特征较突出。","origin_80"
"known_arleigh_burke_008","驱逐舰","阿利·伯克级驱逐舰","False","驱逐舰","","True","category_unknown","known_only_less_aggressive_open_set","0.8831","True","False","False","False","驱逐舰","0.8831","","驱逐舰","0.0","True","v32：能判断大类，但同大类已知舰级锚点不足或存在已知类反证。","驱逐舰类别内未知类","阿利·伯克级驱逐舰","驱逐舰","0.8831","15.1111","17","0","False","v49_3_open_set_anchor_gate_rejected","strict_open_set_guard","True","reject_top_candidate_promotion","missing_arleigh_open_set_anchor","True","False","missing_arleigh_open_set_anchor","[]","{""applied"": false, ""reason"": ""category_boundary_evidence_not_strong_enough"", ""current_category"": ""驱逐舰"", ""top_category"": ""护卫舰"", ""second_category"": ""两栖舰"", ""top_score"": 4.4, ""second_score"": 3.4, ""current_score"": 2.2, ""top_evidence_types"": [""shared_distinguishing""], ""top_unique_count"": 0, ""top_shared_count"": 2, ""top_combo_count"": 0, ""top_negative_count"": 0, ""top_evidence"": [{""type"": ""shared_distinguishing"", ""cue"": ""艉部直升机甲板"", ""score"": 2.2}, {""type"": ""shared_distinguishing"", ""cue"": ""直升机甲板"", ""score"": 2.2}]}","{}","只能看到船头有炮，上层建筑外形比较方正并有倾斜面，后部像是直升机甲板。垂发区域不太清楚，但整体不像航母或两栖登陆舰。","origin_80"
"known_independence_003","护卫舰","独立级濒海战斗舰","False","护卫舰","","True","category_unknown","v49_11_closed_set_guard","1.0","True","False","False","False","护卫舰","1.0","","","","True","v49.11：文本存在独立级反证，取消独立级闭集补全。","护卫舰类别内未知类","独立级濒海战斗舰","护卫舰","1.0","23.1703","18","0","False","final_decision_already_known_class","","","","","","","","null","{""applied"": false, ""reason"": ""final_known_class_do_not_touch""}","{}","这艘船不是普通单体船，左右好像还有支撑结构，像三体船。驾驶室在比较前面，后面有一块停直升机的平台，船头有一门小炮，没有看到航母那种长长的飞行甲板。","origin_80"
"known_independence_008","护卫舰","独立级濒海战斗舰","False","护卫舰","","True","category_unknown","v49_11_closed_set_guard","1.0","True","False","False","False","护卫舰","1.0","","","","True","v49.11：文本存在独立级反证，取消独立级闭集补全。","护卫舰类别内未知类","阿利·伯克级驱逐舰","驱逐舰","1.0","17.9803","15","0","False","final_decision_already_known_class","","","","","","","","null","{""applied"": false, ""reason"": ""final_known_class_do_not_touch""}","{}","只看得出这艘舰比较低矮，后面有直升机平台，船体好像比较宽，可能不是普通单体船。船头似乎有炮，其他装备看不清楚。","origin_80"
"known_san_antonio_001","两栖舰","圣安东尼奥级两栖船坞运输舰","False","两栖舰","黄蜂级两栖攻击舰","False","known_class","v49_12_amphibious_landing_boundary_fix","0.8589","True","False","True","False","两栖舰","0.8589","黄蜂级两栖攻击舰","两栖舰","0.8589","False","v49.12：文本包含全通/贯通飞行甲板、两栖攻击/航空突击或 STOVL 垂直起降证据，优先判为黄蜂级两栖攻击舰。","","圣安东尼奥级两栖船坞运输舰","两栖舰","0.8589","21.9078","16","0","False","final_decision_already_known_class","","","","","","","","null","{""applied"": false, ""reason"": ""final_known_class_do_not_touch""}","{}","该舰为两栖船坞运输舰，采用大型单体船结构，前部为大型箱形隐身化上层建筑，舰尾设有直升机甲板和坞舱艉门，可搭载登陆艇、车辆和海军陆战队员。","origin_80"
"unknown_destroyer_real_007","驱逐舰","","True","驱逐舰","阿利·伯克级驱逐舰","False","known_class","single_known_class_filled","0.7892","True","False","False","False","驱逐舰","0.7892","阿利·伯克级驱逐舰","驱逐舰","0.7892","False","最终一致性修正：已补全单已知舰级，因此不是类别内未知类。","","阿利·伯克级驱逐舰","驱逐舰","0.7892","26.6503","20","0","False","final_decision_already_known_class","","","","","","","","null","{""applied"": false, ""reason"": ""final_known_class_do_not_touch""}","{}","该舰标准排水量约7250吨，满载排水量约9485吨，舰长约161米，舷宽约21米，吃水约6.2米，采用4台LM2500燃气轮机和双轴推进，最高航速约30节。舰上装有宙斯盾系统、AN/SPY-1D雷达、90具左右Mk 41垂直发射单元、127毫米舰炮和直升机平台。","origin_80"
"unknown_destroyer_real_008","驱逐舰","","True","巡洋舰","","True","category_unknown","known_only_less_aggressive_open_set","0.6768","False","True","True","False","巡洋舰","0.6768","","巡洋舰","0.0","True","v32：能判断大类，但同大类已知舰级锚点不足或存在已知类反证。","巡洋舰类别内未知类","提康德罗加级导弹巡洋舰","巡洋舰","0.6768","5.55","5","0","False","top_candidate_not_safe_enough","strict_open_set_guard","","","","","","","null","{""applied"": false, ""reason"": ""category_boundary_evidence_not_strong_enough"", ""current_category"": ""巡洋舰"", ""top_category"": ""两栖舰"", ""second_category"": ""航空母舰"", ""top_score"": 5.0, ""second_score"": 2.2, ""current_score"": 0.6, ""top_evidence_types"": [""unique_anchor""], ""top_unique_count"": 1, ""top_shared_count"": 0, ""top_combo_count"": 0, ""top_negative_count"": 0, ""top_evidence"": [{""type"": ""unique_anchor"", ""cue"": ""STOVL"", ""score"": 5.0}]}","{}","只能看出这艘舰比较大，前面有主炮，中部上层建筑很高，桅杆像格子结构，舰上似乎有很多导弹发射井。舰尾好像可以让直升机起降，但没有看清机库和具体雷达型号。","origin_80"
"unknown_frigate_a_real_008","护卫舰","","True","巡洋舰","","True","category_unknown","known_only_less_aggressive_open_set","0.7127","False","True","True","False","巡洋舰","0.7127","","巡洋舰","0.0","True","v32：能判断大类，但同大类已知舰级锚点不足或存在已知类反证。","巡洋舰类别内未知类","提康德罗加级导弹巡洋舰","巡洋舰","0.7127","8.9303","13","0","False","top_candidate_not_safe_enough","strict_open_set_guard","","","","","","","null","{""applied"": false, ""reason"": ""category_boundary_evidence_not_strong_enough"", ""current_category"": ""巡洋舰"", ""top_category"": ""护卫舰"", ""second_category"": ""两栖舰"", ""top_score"": 4.4, ""second_score"": 2.8, ""current_score"": 0.6, ""top_evidence_types"": [""shared_distinguishing""], ""top_unique_count"": 0, ""top_shared_count"": 2, ""top_combo_count"": 0, ""top_negative_count"": 0, ""top_evidence"": [{""type"": ""shared_distinguishing"", ""cue"": ""艉部直升机甲板"", ""score"": 2.2}, {""type"": ""shared_distinguishing"", ""cue"": ""直升机甲板"", ""score"": 2.2}]}","{}","只能看出这是一艘中型军舰，舰尾有直升机库和起降甲板，船头有一门炮，中部有雷达和桅杆。甲板上似乎有一些导弹发射装置，但数量和型号看不清。","origin_80"
