id,gold_category,gold_known_class,gold_open_set,pred_category,pred_known_class,pred_open_set,result_type,confidence,category_correct,known_class_correct,open_set_correct,exact_correct,dataset,diagnosis_error_type,input_text,category_text_profile,length_m,displacement_t,vls_cells,parameter_hint,gold_evidence_level,gold_evidence_score,gold_explicit_hits,gold_unique_hits,gold_shared_hits,gold_negative_hits,gold_combo_hits,pred_evidence_level,pred_evidence_score,pred_explicit_hits,pred_unique_hits,pred_shared_hits,pred_negative_hits,pred_combo_hits,suggested_action
known_arleigh_burke_002,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,category_unknown,0.78,True,False,False,False,origin_80,known_to_unknown_same_category,这艘舰的主要特征是宙斯盾系统、舰艏主炮、前后垂发阵列和隐身化上层建筑。它没有全通飞行甲板、弹射器、拦阻索和坞舱，主要执行防空、反潜和对海作战任务。,航空母舰:弹射器|拦阻索|全通飞行甲板; 两栖舰:全通飞行甲板,,,,,conflicting_or_negative,-4.0,,宙斯盾|前后垂发,垂发|舰艏主炮|区域防空,坞舱|全通飞行甲板|弹射器|拦阻索,,pred_open_set_or_no_known_class,0,,,,,,不建议强行恢复：gold已知类证据偏弱或仅共享特征，可能是数据弱描述
known_arleigh_burke_004,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,category_unknown,0.7246,True,False,False,False,origin_80,known_to_unknown_same_category,我看到一艘比较现代化的军舰，外形有点隐身，前面有炮，中间和后面好像有垂直发射装置。它不像两栖舰，没有尾门和坞舱，也不像航母，没有弹射器。,航空母舰:航母|弹射器,,,,,conflicting_or_negative,-6.0,,,垂直发射,坞舱|弹射器,,pred_open_set_or_no_known_class,0,,,,,,不建议强行恢复：gold已知类证据偏弱或仅共享特征，可能是数据弱描述
known_arleigh_burke_006,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,category_unknown,0.9043,True,False,False,False,origin_80,known_to_unknown_same_category,图像显示该舰具有隐身化封闭式上层建筑，舰艏处有主炮，舰尾存在直升机起降区域。未见坞舱、艉门或大型航空甲板，武器传感器特征较突出。,,,,,,conflicting_or_negative,-1.5,,,舰艏主炮,坞舱,,pred_open_set_or_no_known_class,0,,,,,,不建议强行恢复：gold已知类证据偏弱或仅共享特征，可能是数据弱描述
known_arleigh_burke_008,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,category_unknown,0.8831,True,False,False,False,origin_80,known_to_unknown_same_category,只能看到船头有炮，上层建筑外形比较方正并有倾斜面，后部像是直升机甲板。垂发区域不太清楚，但整体不像航母或两栖登陆舰。,航空母舰:航母,,,,,weak_or_partial_evidence,2.5,,,垂发,,,pred_open_set_or_no_known_class,0,,,,,,不建议强行恢复：gold已知类证据偏弱或仅共享特征，可能是数据弱描述
known_independence_003,护卫舰,独立级濒海战斗舰,False,护卫舰,,True,category_unknown,1.0,True,False,False,False,origin_80,known_to_unknown_same_category,这艘船不是普通单体船，左右好像还有支撑结构，像三体船。驾驶室在比较前面，后面有一块停直升机的平台，船头有一门小炮，没有看到航母那种长长的飞行甲板。,航空母舰:航母; 护卫舰:三体,,,,,unique_anchor_plus_shared,7.5,,三体|三体船,直升机平台,,,pred_open_set_or_no_known_class,0,,,,,,可尝试安全恢复：gold已知类有显式/组合/锚点证据；检查是否被过严open-set保护挡住
known_independence_008,护卫舰,独立级濒海战斗舰,False,护卫舰,,True,category_unknown,1.0,True,False,False,False,origin_80,known_to_unknown_same_category,只看得出这艘舰比较低矮，后面有直升机平台，船体好像比较宽，可能不是普通单体船。船头似乎有炮，其他装备看不清楚。,,,,,,weak_or_partial_evidence,1.5,,,直升机平台,,,pred_open_set_or_no_known_class,0,,,,,,不建议强行恢复：gold已知类证据偏弱或仅共享特征，可能是数据弱描述
known_san_antonio_001,两栖舰,圣安东尼奥级两栖船坞运输舰,False,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.8589,True,False,True,False,origin_80,known_to_known_wrong_class_same_category,该舰为两栖船坞运输舰，采用大型单体船结构，前部为大型箱形隐身化上层建筑，舰尾设有直升机甲板和坞舱艉门，可搭载登陆艇、车辆和海军陆战队员。,,,,,,strong_combo_evidence,16.0,,两栖船坞运输舰|船坞运输,坞舱|艉门|登陆艇,,LPD/船坞运输 + 综合投送,shared_distinguishing_only,5.5,,,坞舱|登陆艇|直升机,,,已知类间混淆：检查同大类独有锚点、组合证据和反向排除特征
unknown_destroyer_real_007,驱逐舰,,True,驱逐舰,阿利·伯克级驱逐舰,False,known_class,0.7892,True,False,False,False,origin_80,unknown_to_known_false_positive,该舰标准排水量约7250吨，满载排水量约9485吨，舰长约161米，舷宽约21米，吃水约6.2米，采用4台LM2500燃气轮机和双轴推进，最高航速约30节。舰上装有宙斯盾系统、AN/SPY-1D雷达、90具左右Mk 41垂直发射单元、127毫米舰炮和直升机平台。,,161.0,9485.0,41,destroyer_scale;destroyer_hull_scale,gold_open_set_or_no_known_class,0,,,,,,strong_combo_evidence,20.0,,spy-1|宙斯盾|mk41,垂直发射|127毫米,,Mk41/前后垂发 + 127mm/舰艏主炮 + 直升机机库|宙斯盾/SPY + Mk41/90-96单元,检查是否为未知近邻样本过像已知类；若有显式名称需看是否有反证
unknown_destroyer_real_008,驱逐舰,,True,巡洋舰,,True,category_unknown,0.6768,False,True,True,False,origin_80,unknown_to_unknown_wrong_category,只能看出这艘舰比较大，前面有主炮，中部上层建筑很高，桅杆像格子结构，舰上似乎有很多导弹发射井。舰尾好像可以让直升机起降，但没有看清机库和具体雷达型号。,,,,,,gold_open_set_or_no_known_class,0,,,,,,pred_open_set_or_no_known_class,0,,,,,,检查显式大类词与共享区分特征，适合category-only修正
unknown_frigate_a_real_008,护卫舰,,True,巡洋舰,,True,category_unknown,0.7127,False,True,True,False,origin_80,unknown_to_unknown_wrong_category,只能看出这是一艘中型军舰，舰尾有直升机库和起降甲板，船头有一门炮，中部有雷达和桅杆。甲板上似乎有一些导弹发射装置，但数量和型号看不清。,,,,,,gold_open_set_or_no_known_class,0,,,,,,pred_open_set_or_no_known_class,0,,,,,,检查显式大类词与共享区分特征，适合category-only修正
