id,gold_category,gold_known_class,gold_open_set,pred_category,pred_known_class,pred_open_set,exact_correct,input_text,observed_non_unknown_slots,final_decision,category_candidates,class_candidates
known_arleigh_burke_anchor_003,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,False,图中舰艇为隐身化封闭式上层建筑，四面固定雷达阵面明显，舰艏主炮与Mk41垂发区域清楚。,VISUAL_STRUCTURE.Superstructure_Type=隐身化封闭式上层建筑 | WEAPON_SENSOR_FEATURES.VLS_Presence=有 | WEAPON_SENSOR_FEATURES.Main_Gun_Presence=有 | WEAPON_SENSOR_FEATURES.Main_Gun_Position=舰艏 | WEAPON_SENSOR_FEATURES.Phased_Array_Radar=有 | WEAPON_SENSOR_FEATURES.Radar_Array_Type=四面固定相控阵 | EQUIPMENT_DETAILS.Weapon_System=['Mk 41 VLS'] | NEGATIVE_FEATURES.No_VLS=否,{},[],[]
known_arleigh_burke_anchor_008,驱逐舰,阿利·伯克级驱逐舰,False,巡洋舰,,True,False,图像大模型描述：舰体修长，舰艏一门127mm舰炮，前后为Mk41垂发区，后部可见直升机机库。,AVIATION_FEATURES.Hangar=有 | WEAPON_SENSOR_FEATURES.VLS_Presence=有 | WEAPON_SENSOR_FEATURES.VLS_Position=舰艏和舰艉 | WEAPON_SENSOR_FEATURES.Main_Gun_Presence=有 | WEAPON_SENSOR_FEATURES.Main_Gun_Position=舰艏 | WEAPON_SENSOR_FEATURES.Main_Gun_Caliber=127mm级 | EQUIPMENT_DETAILS.Weapon_System=['Mk 41 VLS'] | NEGATIVE_FEATURES.No_VLS=否,{},[],[]
known_independence_anchor_002,护卫舰,独立级濒海战斗舰,False,驱逐舰,,True,False,我看到这船不是普通单体船，两边像有支撑船体，速度很快，前面是57mm级舰炮，后面能停直升机。,"VISUAL_STRUCTURE.Hull_Form=双体船 | AVIATION_FEATURES.Flight_Deck_Type=艉部直升机甲板 | AVIATION_FEATURES.Flight_Deck_Position=舰尾 | AVIATION_FEATURES.Helicopter_Spot_Count=1 | AVIATION_FEATURES.Catapult=无 | AVIATION_FEATURES.Catapult_Count=0 | AVIATION_FEATURES.Arresting_Gear=无 | AVIATION_FEATURES.Arresting_Gear_Count=0 | AVIATION_FEATURES.Aircraft_Capacity_Level=1-2架直升机级 | AVIATION_FEATURES.Fixed_Wing_Aircraft_Operation=无 | AVIATION_FEATURES.STOVL_Aircraft_Operation=无 | TEXT_ATTRIBUTES.Speed=快 | WEAPON_SENSOR_FEATURES.Main_Gun_Presence=有 | WEAPON_SENSOR_FEATURES.Main_Gun_Position=舰艏 | WEAPON_SENSOR_FEATURES.Main_Gun_Caliber=57mm级 | NEGATIVE_FEATURES.No_Catapult=是 | NEGATIVE_FEATURES.No_Arresting_Gear=是 | NEGATIVE_FEATURES.No_Full_Flight_Deck=是 | NEGATIVE_FEATURES.No_Large_Aviation_Facility=是 | NEGATIVE_FEATURES.No_Fixed_Wing_Carrier_Operation=是 | TEXT_STRONG_CUES.Keywords=双体船,57mm级舰炮,直升机",{},[],[]
known_independence_anchor_005,护卫舰,独立级濒海战斗舰,False,护卫舰,,True,False,画面里能看到很宽的舰尾平台和三体船轮廓，但没有大型区域防空垂发，也不像传统护卫舰。,"VISUAL_STRUCTURE.Hull_Form=三体船 | VISUAL_STRUCTURE.Stern_Form=宽大平直舰尾 | WEAPON_SENSOR_FEATURES.VLS_Presence=无 | WEAPON_SENSOR_FEATURES.VLS_Count_Level=无 | WEAPON_SENSOR_FEATURES.VLS_Position=无 | NEGATIVE_FEATURES.No_Large_VLS_As_Main_Feature=是 | NEGATIVE_FEATURES.No_VLS=是 | TEXT_STRONG_CUES.Keywords=三体船, 宽舰尾, 无大型区域防空垂发",{},[],[]
known_wasp_anchor_006,两栖舰,黄蜂级两栖攻击舰,False,登陆舰,,True,False,该舰可作为海军陆战队远征部队核心平台，兼具航空突击、登陆艇投送和指挥能力。,"AMPHIBIOUS_FEATURES.Landing_Craft_Capability=有 | AMPHIBIOUS_FEATURES.Troop_Transport=强 | AMPHIBIOUS_FEATURES.Amphibious_Assault_Capability=强 | MISSION_FEATURES.Amphibious_Assault=强 | MISSION_FEATURES.Landing_Operation=强 | MISSION_FEATURES.Command_Control=有 | MISSION_FEATURES.Fleet_Core=是 | NEGATIVE_FEATURES.No_Landing_Craft_Capability=否 | TEXT_STRONG_CUES.Keywords=海军陆战队远征部队核心平台, 航空突击, 登陆艇投送, 指挥能力",{},[],[]
known_san_antonio_anchor_002,两栖舰,圣安东尼奥级两栖船坞运输舰,False,两栖舰,黄蜂级两栖攻击舰,False,False,我看到它不像全通甲板两栖攻击舰，前部是大型上层建筑，后面有直升机甲板和机库，资料里提到可操作MV-22鱼鹰。,"VISUAL_STRUCTURE.Superstructure_Type=大型上层建筑 | AVIATION_FEATURES.Flight_Deck_Type=艉部直升机甲板 | AVIATION_FEATURES.Flight_Deck_Position=舰尾 | AVIATION_FEATURES.Catapult=无 | AVIATION_FEATURES.Catapult_Count=0 | AVIATION_FEATURES.Arresting_Gear=无 | AVIATION_FEATURES.Arresting_Gear_Count=0 | AVIATION_FEATURES.Hangar=有 | AVIATION_FEATURES.Fixed_Wing_Aircraft_Operation=非主要能力 | AMPHIBIOUS_FEATURES.Well_Deck=无 | EQUIPMENT_DETAILS.Aircraft=['MV-22鱼鹰'] | NEGATIVE_FEATURES.No_Well_Deck=是 | NEGATIVE_FEATURES.No_Catapult=是 | NEGATIVE_FEATURES.No_Arresting_Gear=是 | NEGATIVE_FEATURES.No_Full_Flight_Deck=是 | NEGATIVE_FEATURES.No_Fixed_Wing_Carrier_Operation=是 | TEXT_STRONG_CUES.Keywords=大型上层建筑,直升机甲板,机库,MV-22鱼鹰",{},[],[]
known_san_antonio_anchor_005,两栖舰,圣安东尼奥级两栖船坞运输舰,False,登陆舰,惠德比岛级船坞登陆舰,False,False,画面有些遮挡，但能看到它有车辆/货物运输空间、直升机机库和坞舱，不是纯船坞登陆舰。,AVIATION_FEATURES.Hangar=有 | AMPHIBIOUS_FEATURES.Well_Deck=有 | AMPHIBIOUS_FEATURES.Vehicle_Deck=有 | NEGATIVE_FEATURES.No_Well_Deck=否,{},[],[]
known_whidbey_island_anchor_005,登陆舰,惠德比岛级船坞登陆舰,False,登陆舰,,True,False,画面没有显示全通飞行甲板，也没有STOVL飞机作业能力，主要能看到船坞登陆平台的后部结构。,AVIATION_FEATURES.Flight_Deck_Type=无明显飞行甲板 | AVIATION_FEATURES.Flight_Deck_Position=无 | AVIATION_FEATURES.Fixed_Wing_Aircraft_Operation=无 | AVIATION_FEATURES.STOVL_Aircraft_Operation=无 | NEGATIVE_FEATURES.No_Full_Flight_Deck=是 | NEGATIVE_FEATURES.No_Fixed_Wing_Carrier_Operation=是,{},[],[]
unknown_destroyer_anchor_dev_001,驱逐舰,,True,驱逐舰,阿利·伯克级驱逐舰,False,False,这是一艘大型导弹驱逐舰，舰艏有127毫米级主炮，舰上有多组垂直发射单元，主要承担区域防空和反导任务，但文本没有给出SPY-1D或Flight IIA等具体信息。,"WEAPON_SENSOR_FEATURES.VLS_Presence=有 | WEAPON_SENSOR_FEATURES.Main_Gun_Presence=有 | WEAPON_SENSOR_FEATURES.Main_Gun_Position=舰艏 | WEAPON_SENSOR_FEATURES.Main_Gun_Caliber=127mm级 | MISSION_FEATURES.Area_Air_Defense=有 | NEGATIVE_FEATURES.No_VLS=否 | TEXT_STRONG_CUES.Keywords=大型导弹驱逐舰,127毫米级主炮,垂直发射单元,区域防空,反导",{},[],[]
unknown_destroyer_anchor_dev_004,驱逐舰,,True,驱逐舰,阿利·伯克级驱逐舰,False,False,该舰满载排水量接近万吨级，具备区域防空、反舰和反潜能力，装备大量垂发，但未出现96单元、SPY-1D、两座直升机库等已知锚点。,TEXT_ATTRIBUTES.Full_Load_Displacement=接近万吨级 | WEAPON_SENSOR_FEATURES.VLS_Presence=有 | MISSION_FEATURES.Area_Air_Defense=有 | MISSION_FEATURES.Anti_Submarine=有 | MISSION_FEATURES.Anti_Surface=有 | NEGATIVE_FEATURES.No_VLS=否,{},[],[]
