id,gold_category,gold_known_class,gold_open_set,pred_category,pred_known_class,pred_open_set,exact_correct,input_text,observed_non_unknown_slots,final_decision,category_candidates,class_candidates
known_arleigh_burke_002,驱逐舰,阿利·伯克级驱逐舰,False,两栖舰,,True,False,这艘舰的主要特征是宙斯盾系统、舰艏主炮、前后垂发阵列和隐身化上层建筑。它没有全通飞行甲板、弹射器、拦阻索和坞舱，主要执行防空、反潜和对海作战任务。,"VISUAL_STRUCTURE.Superstructure_Type=隐身化上层建筑 | AVIATION_FEATURES.Flight_Deck_Type=无全通飞行甲板 | AVIATION_FEATURES.Catapult=无 | AVIATION_FEATURES.Catapult_Count=0 | AVIATION_FEATURES.Arresting_Gear=无 | AVIATION_FEATURES.Arresting_Gear_Count=0 | AMPHIBIOUS_FEATURES.Well_Deck=无 | WEAPON_SENSOR_FEATURES.VLS_Presence=有 | WEAPON_SENSOR_FEATURES.VLS_Position=前后均有 | WEAPON_SENSOR_FEATURES.Main_Gun_Presence=有 | WEAPON_SENSOR_FEATURES.Main_Gun_Position=舰艏 | WEAPON_SENSOR_FEATURES.Phased_Array_Radar=有 | EQUIPMENT_DETAILS.Radar_System=['宙斯盾战斗系统'] | MISSION_FEATURES.Primary_Mission=区域防空 | MISSION_FEATURES.Area_Air_Defense=有 | MISSION_FEATURES.Anti_Submarine=有 | MISSION_FEATURES.Anti_Surface=有 | NEGATIVE_FEATURES.No_Well_Deck=是 | NEGATIVE_FEATURES.No_Catapult=是 | NEGATIVE_FEATURES.No_Arresting_Gear=是 | NEGATIVE_FEATURES.No_Full_Flight_Deck=是 | NEGATIVE_FEATURES.No_VLS=否 | TEXT_STRONG_CUES.Keywords=宙斯盾系统,舰艏主炮,前后垂发阵列,隐身化上层建筑,防空,反潜,对海作战",{},[],[]
known_arleigh_burke_004,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,False,我看到一艘比较现代化的军舰，外形有点隐身，前面有炮，中间和后面好像有垂直发射装置。它不像两栖舰，没有尾门和坞舱，也不像航母，没有弹射器。,"VISUAL_STRUCTURE.Superstructure_Type=隐身化封闭式上层建筑 | VISUAL_STRUCTURE.Stealth_Shape=强隐身化外形 | AVIATION_FEATURES.Catapult=无 | AVIATION_FEATURES.Catapult_Count=0 | AMPHIBIOUS_FEATURES.Well_Deck=无 | AMPHIBIOUS_FEATURES.Stern_Gate=无 | AMPHIBIOUS_FEATURES.Landing_Craft_Capability=无 | AMPHIBIOUS_FEATURES.Amphibious_Assault_Capability=无 | AMPHIBIOUS_FEATURES.Landing_Craft_Capacity=无 | WEAPON_SENSOR_FEATURES.VLS_Presence=有 | WEAPON_SENSOR_FEATURES.VLS_Position=中部和舰艉 | WEAPON_SENSOR_FEATURES.Main_Gun_Presence=有 | WEAPON_SENSOR_FEATURES.Main_Gun_Position=舰艏 | MISSION_FEATURES.Amphibious_Assault=无 | MISSION_FEATURES.Landing_Operation=无 | NEGATIVE_FEATURES.No_Well_Deck=是 | NEGATIVE_FEATURES.No_Stern_Gate=是 | NEGATIVE_FEATURES.No_Catapult=是 | NEGATIVE_FEATURES.No_Landing_Craft_Capability=是 | NEGATIVE_FEATURES.No_VLS=否 | TEXT_STRONG_CUES.Keywords=现代化军舰,隐身,前面有炮,垂直发射装置,不像两栖舰,没有尾门和坞舱,不像航母,没有弹射器",{},[],[]
known_arleigh_burke_006,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,False,图像显示该舰具有隐身化封闭式上层建筑，舰艏处有主炮，舰尾存在直升机起降区域。未见坞舱、艉门或大型航空甲板，武器传感器特征较突出。,"VISUAL_STRUCTURE.Superstructure_Type=隐身化封闭式上层建筑 | AVIATION_FEATURES.Flight_Deck_Type=艉部直升机甲板 | AVIATION_FEATURES.Flight_Deck_Position=舰尾 | AVIATION_FEATURES.Catapult=无 | AVIATION_FEATURES.Catapult_Count=0 | AVIATION_FEATURES.Arresting_Gear=无 | AVIATION_FEATURES.Arresting_Gear_Count=0 | AVIATION_FEATURES.Fixed_Wing_Aircraft_Operation=无 | AVIATION_FEATURES.STOVL_Aircraft_Operation=无 | AMPHIBIOUS_FEATURES.Well_Deck=无 | AMPHIBIOUS_FEATURES.Stern_Gate=无 | AMPHIBIOUS_FEATURES.Landing_Craft_Capability=无 | AMPHIBIOUS_FEATURES.Amphibious_Assault_Capability=无 | AMPHIBIOUS_FEATURES.Landing_Craft_Capacity=无 | WEAPON_SENSOR_FEATURES.Main_Gun_Presence=有 | WEAPON_SENSOR_FEATURES.Main_Gun_Position=舰艏 | MISSION_FEATURES.Amphibious_Assault=无 | MISSION_FEATURES.Landing_Operation=无 | NEGATIVE_FEATURES.No_Well_Deck=是 | NEGATIVE_FEATURES.No_Stern_Gate=是 | NEGATIVE_FEATURES.No_Catapult=是 | NEGATIVE_FEATURES.No_Arresting_Gear=是 | NEGATIVE_FEATURES.No_Full_Flight_Deck=是 | NEGATIVE_FEATURES.No_Landing_Craft_Capability=是 | NEGATIVE_FEATURES.No_Large_Aviation_Facility=是 | NEGATIVE_FEATURES.No_Fixed_Wing_Carrier_Operation=是 | TEXT_STRONG_CUES.Keywords=隐身化封闭式上层建筑,舰艏主炮,舰尾直升机起降区域,武器传感器特征",{},[],[]
known_arleigh_burke_008,驱逐舰,阿利·伯克级驱逐舰,False,驱逐舰,,True,False,只能看到船头有炮，上层建筑外形比较方正并有倾斜面，后部像是直升机甲板。垂发区域不太清楚，但整体不像航母或两栖登陆舰。,VISUAL_STRUCTURE.Superstructure_Type=隐身化封闭式上层建筑 | VISUAL_STRUCTURE.Stealth_Shape=强隐身化外形 | AVIATION_FEATURES.Flight_Deck_Type=艉部直升机甲板 | AVIATION_FEATURES.Flight_Deck_Position=舰尾 | AVIATION_FEATURES.Catapult=无 | AVIATION_FEATURES.Catapult_Count=0 | AVIATION_FEATURES.Arresting_Gear=无 | AVIATION_FEATURES.Arresting_Gear_Count=0 | AVIATION_FEATURES.Fixed_Wing_Aircraft_Operation=无 | AVIATION_FEATURES.STOVL_Aircraft_Operation=无 | AMPHIBIOUS_FEATURES.Well_Deck=无 | AMPHIBIOUS_FEATURES.Landing_Craft_Capability=无 | AMPHIBIOUS_FEATURES.Amphibious_Assault_Capability=无 | AMPHIBIOUS_FEATURES.Landing_Craft_Capacity=无 | WEAPON_SENSOR_FEATURES.Main_Gun_Presence=有 | WEAPON_SENSOR_FEATURES.Main_Gun_Position=舰艏 | MISSION_FEATURES.Amphibious_Assault=无 | MISSION_FEATURES.Landing_Operation=无 | NEGATIVE_FEATURES.No_Well_Deck=是 | NEGATIVE_FEATURES.No_Catapult=是 | NEGATIVE_FEATURES.No_Arresting_Gear=是 | NEGATIVE_FEATURES.No_Full_Flight_Deck=是 | NEGATIVE_FEATURES.No_Landing_Craft_Capability=是 | NEGATIVE_FEATURES.No_Large_Aviation_Facility=是 | NEGATIVE_FEATURES.No_Fixed_Wing_Carrier_Operation=是,{},[],[]
known_independence_004,护卫舰,独立级濒海战斗舰,False,护卫舰,,True,False,船看起来比较低矮，后部甲板很宽，像是给直升机用的。船体形状很特殊，不像普通驱逐舰一条船体，更像三体结构，前面有一个小口径炮。,"VISUAL_STRUCTURE.Hull_Form=三体结构 | VISUAL_STRUCTURE.Stealth_Shape=低矮 | AVIATION_FEATURES.Flight_Deck_Type=艉部直升机甲板 | AVIATION_FEATURES.Flight_Deck_Position=后部 | AVIATION_FEATURES.Catapult=无 | AVIATION_FEATURES.Catapult_Count=0 | AVIATION_FEATURES.Arresting_Gear=无 | AVIATION_FEATURES.Arresting_Gear_Count=0 | AVIATION_FEATURES.Fixed_Wing_Aircraft_Operation=无 | AVIATION_FEATURES.STOVL_Aircraft_Operation=无 | WEAPON_SENSOR_FEATURES.Main_Gun_Presence=有 | WEAPON_SENSOR_FEATURES.Main_Gun_Position=舰艏 | WEAPON_SENSOR_FEATURES.Main_Gun_Caliber=小口径自卫武器 | NEGATIVE_FEATURES.No_Catapult=是 | NEGATIVE_FEATURES.No_Arresting_Gear=是 | NEGATIVE_FEATURES.No_Fixed_Wing_Carrier_Operation=是 | TEXT_STRONG_CUES.Keywords=低矮, 后部甲板宽, 三体结构, 小口径炮",{},[],[]
known_wasp_002,两栖舰,黄蜂级两栖攻击舰,False,两栖舰,圣安东尼奥级两栖船坞运输舰,False,False,这艘两栖攻击舰外形类似小型航空母舰，有贯通甲板和舰岛，但航空作业以直升机和垂直起降飞机为主。舰体内部具备车辆甲板和坞舱，可投送海军陆战队和登陆艇。,"VISUAL_STRUCTURE.Island_Presence=有 | AVIATION_FEATURES.Flight_Deck_Type=全通飞行甲板 | AVIATION_FEATURES.Flight_Deck_Position=全舰贯通 | AVIATION_FEATURES.Catapult=无 | AVIATION_FEATURES.Catapult_Count=0 | AVIATION_FEATURES.Arresting_Gear=无 | AVIATION_FEATURES.Arresting_Gear_Count=0 | AVIATION_FEATURES.Fixed_Wing_Aircraft_Operation=无 | AVIATION_FEATURES.STOVL_Aircraft_Operation=有 | AMPHIBIOUS_FEATURES.Well_Deck=有 | AMPHIBIOUS_FEATURES.Landing_Craft_Capability=有 | AMPHIBIOUS_FEATURES.Vehicle_Deck=有 | AMPHIBIOUS_FEATURES.Troop_Transport=有 | MISSION_FEATURES.Primary_Mission=两栖攻击 | NEGATIVE_FEATURES.No_Well_Deck=否 | NEGATIVE_FEATURES.No_Catapult=是 | NEGATIVE_FEATURES.No_Arresting_Gear=是 | NEGATIVE_FEATURES.No_Full_Flight_Deck=否 | NEGATIVE_FEATURES.No_Landing_Craft_Capability=否 | NEGATIVE_FEATURES.No_Fixed_Wing_Carrier_Operation=是 | TEXT_STRONG_CUES.Keywords=两栖攻击舰,小型航空母舰,贯通甲板,舰岛,直升机,垂直起降飞机,车辆甲板,坞舱,海军陆战队,登陆艇",{},[],[]
known_wasp_007,两栖舰,黄蜂级两栖攻击舰,False,两栖舰,圣安东尼奥级两栖船坞运输舰,False,False,该舰满载排水量约四万吨级，可搭载海军陆战队、直升机、短距起飞/垂直降落飞机以及气垫登陆艇，具有坞舱和车辆甲板，主要承担两栖攻击任务。,"AMPHIBIOUS_FEATURES.Well_Deck=有 | AMPHIBIOUS_FEATURES.Landing_Craft_Capability=有 | AMPHIBIOUS_FEATURES.Vehicle_Deck=有 | AMPHIBIOUS_FEATURES.Troop_Transport=有 | AMPHIBIOUS_FEATURES.Amphibious_Assault_Capability=强 | TEXT_ATTRIBUTES.Full_Load_Displacement=四万吨级 | MISSION_FEATURES.Primary_Mission=两栖攻击 | MISSION_FEATURES.Amphibious_Assault=强 | NEGATIVE_FEATURES.No_Well_Deck=否 | NEGATIVE_FEATURES.No_Landing_Craft_Capability=否 | TEXT_STRONG_CUES.Keywords=四万吨级, 海军陆战队, 直升机, 短距起飞/垂直降落飞机, 气垫登陆艇, 坞舱, 车辆甲板, 两栖攻击任务",{},[],[]
known_san_antonio_002,两栖舰,圣安东尼奥级两栖船坞运输舰,False,两栖舰,,True,False,这艘舰没有全通飞行甲板，也没有弹射器和拦阻索。它的主要特征是大型封闭式上层建筑、舰尾直升机甲板、坞舱、艉门、车辆甲板和两栖运输能力。,"VISUAL_STRUCTURE.Superstructure_Type=大型封闭式上层建筑 | AVIATION_FEATURES.Flight_Deck_Type=艉部直升机甲板 | AVIATION_FEATURES.Flight_Deck_Position=舰尾 | AVIATION_FEATURES.Catapult=无 | AVIATION_FEATURES.Catapult_Count=0 | AVIATION_FEATURES.Arresting_Gear=无 | AVIATION_FEATURES.Arresting_Gear_Count=0 | AVIATION_FEATURES.Fixed_Wing_Aircraft_Operation=无 | AMPHIBIOUS_FEATURES.Well_Deck=有 | AMPHIBIOUS_FEATURES.Stern_Gate=有 | AMPHIBIOUS_FEATURES.Vehicle_Deck=有 | AMPHIBIOUS_FEATURES.Troop_Transport=有 | MISSION_FEATURES.Primary_Mission=两栖运输能力 | NEGATIVE_FEATURES.No_Well_Deck=否 | NEGATIVE_FEATURES.No_Stern_Gate=否 | NEGATIVE_FEATURES.No_Catapult=是 | NEGATIVE_FEATURES.No_Arresting_Gear=是 | NEGATIVE_FEATURES.No_Full_Flight_Deck=是 | NEGATIVE_FEATURES.No_Fixed_Wing_Carrier_Operation=是 | TEXT_STRONG_CUES.Keywords=大型封闭式上层建筑,舰尾直升机甲板,坞舱,艉门,车辆甲板,两栖运输能力",{},[],[]
known_san_antonio_003,两栖舰,圣安东尼奥级两栖船坞运输舰,False,登陆舰,惠德比岛级船坞登陆舰,False,False,这艘船看起来像大型运输舰，前面有很大的方盒子一样的舰桥建筑，后面有直升机平台，船尾似乎能打开让登陆艇进出，不像航母那种整条飞行甲板。,"VISUAL_STRUCTURE.Superstructure_Position=前部 | VISUAL_STRUCTURE.Superstructure_Type=大型箱形隐身化上层建筑 | AVIATION_FEATURES.Flight_Deck_Type=艉部直升机甲板 | AVIATION_FEATURES.Flight_Deck_Position=舰尾 | AVIATION_FEATURES.Aircraft_Elevator=无 | AVIATION_FEATURES.Aircraft_Elevator_Count=0 | AVIATION_FEATURES.Catapult=无 | AVIATION_FEATURES.Catapult_Count=0 | AVIATION_FEATURES.Arresting_Gear=无 | AVIATION_FEATURES.Arresting_Gear_Count=0 | AVIATION_FEATURES.Hangar=无机库但有直升机平台 | AVIATION_FEATURES.Aircraft_Capacity_Level=少量直升机 | AVIATION_FEATURES.Fixed_Wing_Aircraft_Operation=无 | AVIATION_FEATURES.STOVL_Aircraft_Operation=无 | AMPHIBIOUS_FEATURES.Well_Deck=有 | AMPHIBIOUS_FEATURES.Stern_Gate=有 | AMPHIBIOUS_FEATURES.Landing_Craft_Capability=有 | NEGATIVE_FEATURES.No_Well_Deck=否 | NEGATIVE_FEATURES.No_Stern_Gate=否 | NEGATIVE_FEATURES.No_Catapult=是 | NEGATIVE_FEATURES.No_Arresting_Gear=是 | NEGATIVE_FEATURES.No_Full_Flight_Deck=是 | NEGATIVE_FEATURES.No_Landing_Craft_Capability=否 | NEGATIVE_FEATURES.No_Large_Aviation_Facility=是 | NEGATIVE_FEATURES.No_Fixed_Wing_Carrier_Operation=是 | TEXT_STRONG_CUES.Keywords=大型运输舰, 方盒子舰桥, 直升机平台, 船尾打开, 登陆艇",{},[],[]
known_san_antonio_008,两栖舰,圣安东尼奥级两栖船坞运输舰,False,航空母舰,,True,False,这艘舰不像驱逐舰，前部上层建筑很大，后面有直升机平台，船尾好像有开口但看不清。没有看到航母那种贯通大甲板。,"VISUAL_STRUCTURE.Superstructure_Position=前部 | AVIATION_FEATURES.Flight_Deck_Type=无明显飞行甲板 | AVIATION_FEATURES.Flight_Deck_Position=无 | AVIATION_FEATURES.Aircraft_Elevator=无 | AVIATION_FEATURES.Aircraft_Elevator_Count=不适用 | AVIATION_FEATURES.Catapult=无 | AVIATION_FEATURES.Catapult_Count=不适用 | AVIATION_FEATURES.Arresting_Gear=无 | AVIATION_FEATURES.Arresting_Gear_Count=不适用 | AVIATION_FEATURES.Fixed_Wing_Aircraft_Operation=无 | AVIATION_FEATURES.STOVL_Aircraft_Operation=无 | NEGATIVE_FEATURES.No_Catapult=是 | NEGATIVE_FEATURES.No_Arresting_Gear=是 | NEGATIVE_FEATURES.No_Full_Flight_Deck=是 | NEGATIVE_FEATURES.No_Fixed_Wing_Carrier_Operation=是 | TEXT_STRONG_CUES.Keywords=前部上层建筑很大,后面有直升机平台,船尾好像有开口但看不清,没有看到航母那种贯通大甲板",{},[],[]
